word,AspectCategory
flexible,functionality
use,functionality
powerful,performance
works,quality
fast,performance
functional,functionality
offers,functionality
hold,size
small,size
switch,functionality
bulky,size
heavy,weight
solid,quality
ergonomical,functionality
intuitive,functionality
perform,performance
takes,performance
outstanding,quality
takes,performance
overpriced,price
expensive,price
shoot,functionality
square,appearance
looks,appearance
lighter,weight
takes,performance
slow,performance
fast,performance
look,appearance
take,performance
heavier,weight
sturdy,quality
performs,performance
intuitive,functionality
visible,functionality
curvy,appearance
homely,appearance
looks,appearance
bulky,size
import,functionality
configurable,functionality
customizable,functionality
looks,appearance
made,quality
feels,quality
light,weight
small,size
powerful,performance
expensive,price
takes,performance
operates,performance
feels,quality
feels,quality
comfortable,quality
improves,performance
looking,appearance
slow,performance
feels,quality
heavy,weight
sleek,appearance
access,functionality
plays,performance
smooth,appearance
fast,performance
play,performance
died,quality
break,quality
looks,performance
disposable,quality
playing,performance
displayed,functionality
show,functionality
play,performance
played,performance
play,performance
work,quality
working,quality
work,quality
plays,performance
play,performance
worked,quality
recognize,functionality
play,performance
recognize,functionality
crafted,quality
played,performance
recognize,functionality
plays,performance
plays,performance
play,performance
stack,functionality
play,performance
plays,performance
worth,quality
work,quality
use,functionality
play,performance
lasted,quality
worked,quality
play,performance
plays,performance
lasts,quality
slim,size
look,appearance
filmsy,quality
die,quality
work,quality
played,performance
working,quality
poor,quality
worked,quality
read,performance
reading,performance
reads,performance
recognize,functionality
cheaper,price
crappy,quality
works,quality
looks,appearance
shiny,appearance
cheap,quality
cheesy,quality
plays,performance
small,size
looks,appearance
skipping,performance
worked,quality
connect,functionality
responding,functionality
froze,performance
load,performance
play,performance
freezing,performance
play,performance
lightweight,size
cheesy,quality
lightweight,size
cheesy,quality
looked,appearance
looking,appearance
works,quality
sleek,appearance
read,performance
read,performance
work,quality
work,quality
small,size
affordable,price
worked,quality
compact,size
attractive,appearance
read,performance
play,performance
works,quality
works,quality
works,quality
play,performance
plays,performance
plays,performance
plays,performance
work,quality
working,quality
looked,appearance
work,quality
work,quality
play,performance
light,weight
slim,size
fits,size
freeze,quality
work,quality
displaying,functionality
worked,quality
plays,performance
played,performance
freeze,quality
play,performance
works,quality
quit,quality
identifying,performance
slow,performance
recognize,functionality
loading,functionality
access,functionality
use,functionality
costly,price
play,performance
played,performance
slow,performance
speed,performance
inexpensive,price
died,performance
inexpensive,price
looks,appearance
sleek,appearance
navigating,functionality
navigating,functionality
read,performance
damaged,quality
play,performance
played,performance
light,weight
portable,size
read,performance
play,performance
play,performance
playing,performance
plays,performance
play,performance
play,performance
reading,performance
unplayable,performance
looks,appearance
sleek,appearance
stylish,appearance
play,performance
works,performance
plays,performance
fit,size
play,performance
plays,performance
costly,price
affordable,price
smaller,size
looks,appearance
worth,quality
cheaper,price
looking,appearance
light,weight
cheaper,price
bigger,size
smaller,size
readable,functionality
small,size
light,weight
silver,appearance
metallic,appearance
small,size
sounds,performance
expensive,price
pay,price
intuitive,functionality
costs,price
comfortable,quality
responsive,functionality
looking,appearance
sexy,appearance
load,performance
froze,performance
runs,performance
sleek,appearance
stylish,appearance
stored,functionality
transport,functionality
holds,functionality
innovative,functionality
priced,price
smaller,size
expensive,price
attractable,appearance
lightweight,size
small,size
bulky,size
looking,appearance
expensive,price
stores,functionality
ripping,functionality
transferring,functionality
looks,appearance
bigger,size
fits,size
heavy,weight
large,size
bright,appearance
ripping,functionality
load,functionality
played,performance
sized,size
bigger,size
feels,quality
fast,performance
froze,performance
working,quality
fragile,quality
transferred,functionality
rename,functionality
sounding,performance
storage,functionality
cheaper,price
fragile,quality
rugged,quality
upgrade,functionality
upgrade,functionality
intuitive,functionality
worked,performance
transfer,functionality
ugly,appearance
big,size
fits,size
heavy,weight
feels,quality
hold,functionality
structured,functionality
secure,quality
strong,quality
robust,quality
stylish,appearance
average,quality
working,quality
small,size
expensive,price
technology,quality
works,quality
friendlier,functionality
fast,performance
looks,appearance
small,size
light,weight
transferring,functionality
transferring,functionality
feels,quality
delicate,quality
enduring,quality
last,quality
endure,quality
feel,quality
forward,functionality
pause,functionality
cumbersome,quality
cumbrous,quality
read,functionality
access,functionality
use,functionality
small,size
light,weight
looking,appearance
fast,performance
sounds,performance
affordable,price
weighty,weight
heavy,weight
froze,performance
store,functionality
larger,size
heavier,weight
loading,performance
tagging,functionality
listing,functionality
results,quality
tagging,functionality
making,functionality
friendly,functionality
functional,functionality
integrates,functionality
remove,functionality
delete,functionality
manage,functionality
cheaper,price
cheap,price
holds,functionality
heavier,weight
sturdy,quality
smaller,size
lighter,weight
light,weight
put,functionality
feels,quality
larger,size
larger,size
light,weight
heavier,weight
larger,size
recognize,functionality
change,functionality
larger,size
small,size
ripping,functionality
ripping,functionality
create,functionality
drag,functionality
drop,functionality
rip,functionality
transferring,functionality
store,functionality
clunky,performance
gawky,performance
clumsy,performance
clunky,performance
ungainly,performance
unwieldy,performance
difficult,performance
stored,functionality
intuitive,functionality
intuitive,functionality
look,appearance
build,quality
looking,appearance
effective,performance
carrying,functionality
heavy,weight
bulky,size
held,functionality
navigate,functionality
cost-effective,price
cost-efficient,price
costly,price
dear,price
high-priced,price
pricey,price
pricy,price
built,quality
lasted,quality
glitches,performance
freezes,performance
accessing,functionality
freeze,functionality
looking,appearance
built,quality
feel,quality
transfer,functionality
preview,functionality
organize,functionality
breaks,quality
freezes,performance
larger,size
access,functionality
expensive,price
worked,performance
worked,performance
froze,performance
worked,performance
tiny,size
cute,appearance
feels,quality
sturdy,quality
tiny,appearance
look,appearance
small,size
tiny,size
operate,functionality
work,performance
small,size
light,weight
bulging,size
small,size
light,weight
surfing,functionality
little,size
light,weight
compact,size
dazzling,appearance
eye-popping,appearance
fulgurant,appearance
fulgurous,appearance
functional,functionality
carry,size
light,weight
compact,size
durable,quality
lightweight,weight
sleek,appearance
attractive,appearance
manipulate,functionality
carry,size
small,size
charge,functionality
slick,appearance
nice,appearance
small,size
little,size
tiny,size
fits,size
loud,functionality
clear,functionality
small,size
light,weight
weighty,weight
attractive,appearance
light,weight
bulky,size
smaller,size
durable,quality
looks,appearance
elegant,appearance
smaller,size
looks,appearance
light,weight
large,size
small,size
small,size
big,size
clear,quality
small,size
light,weight
fast,performance
powerful,performance
pricing,price
transfer,functionality
capture,functionality
compact,size
simple,functionality
effective,performance
correct,functionality
little,size
big,size
offensive,appearance
cost,price
fit,size
unfit,size
friendly,functionality
intuitive,functionality
uncomfortable,quality
comfortable,quality
awkward,quality
durable,quality
compact,size
compact,size
weightless,weight
fit,size
expensive,price
small,size
lightweight,weight
fits,size
works,performance
small,size
compact,size
works,quality
powerful,performance
compact,size
small,size
weightless,weight
affordable,price
produces,performance
useful,functionality
robust,performance
small,size
costly,price
dear,price
high-priced,price
pricey,price
pricy,price
appear,appearance
seem,appearance
look,appearance
seem,appearance
appear,appearance
costly,price
dear,price
high-priced,price
pricey,price
pricy,price
weightless,weight
