word,AspectCategory
setting,ambience
check,service
waiting,service
Indian,food
eating,food
served,service
delivered,service
Chinese,food
seating,service
wait,service
served,service
seated,service
setting,ambience
seating,service
eat,food
priced,price
deliver,service
drink,food
eating,food
served,service
priced,price
helpful,service
slow,service
unhelpful,service
fast,service
enjoyable,ambience
romantic,ambience
warming,ambience
Taiwanese,food
Indian,food
received,service
romantic,ambience
waiting,service
pleasurable,ambience
pleasant,ambience
quick,service
served,service
Chinese,food
pleasant,ambience
served,service
frying,food
priced,price
served,service
romantic,ambience
seating,service
seating,service
drink,food
priced,price
serving,food
priced,price
served,service
drink,food
affordable,price
high-priced,price
fried,food
Priced,price
waiting,service
serves,service
expensive,price
cheap,price
check,service
eat,food
served,service
waiting,service
seated,service
feel,service
cheap,price
entertaining,ambience
drink,food
check,service
magical,ambience
serene,ambience
tranquil,ambience
flinch,service
entertaining,ambience
quail,service
expensive,price
setting,ambience
priced,price
setting,ambience
served,service
feeling,service
wait,service
check,service
diverting,ambience
amusing,ambience
amusive,ambience
eat,food
priced,price
wait,service
serves,service
pleasant,ambience
wait,service
served,service
wait,service
serve,service
setting,ambience
priced,price
priced,price
cheap,price
wait,service
priced,price
serve,service
drink,food
inexpensive,price
served,service
drink,food
serving,food
drink,food
expensive,price
wait,service
check,service
drink,food
drinking,food
waiting,service
waited,service
priced,price
drinking,food
wait,service
priced,price
served,service
